model,scenario,case,cldice,hd95,nsd,betti0
Model_Star,GT_star,PARSE_0086.nii.gz,0.8938237604276555,0.7816844495148162,0.9587298446335306,108
Model_Star,GT_star,PARSE_0087.nii.gz,0.914953231010421,0.7109375,0.9687549092695578,416
Model_Star,GT_star,PARSE_0088.nii.gz,0.9059763650319265,1.1656213346121995,0.9544114094351097,444
Model_Star,GT_star,PARSE_0089.nii.gz,0.8834317401031854,1.1649862630795533,0.9563109028207623,231
Model_Star,GT_star,PARSE_0090.nii.gz,0.8180532440563084,1.0,0.9430059802420732,224
Model_Star,GT_star,PARSE_0091.nii.gz,0.9279772232288445,0.662109375,0.9745214599928664,240
Model_Star,GT_star,PARSE_0092.nii.gz,0.8450381735011637,5.262501681728502,0.9199893398084127,276
Model_Star,GT_star,PARSE_0093.nii.gz,0.878122384150215,0.740234375,0.9654942501873071,284
Model_Star,GT_star,PARSE_0094.nii.gz,0.9323819782890127,0.58203125,0.9786706437275476,288
Model_Star,GT_star,PARSE_0095.nii.gz,0.8861641034349561,0.59375,0.9563293620155131,147
Model_Star,GT_star,PARSE_0096.nii.gz,0.9097510351015472,0.82421875,0.9720318796339462,237
Model_Star,GT_star,PARSE_0097.nii.gz,0.7857137742648901,1.2578125,0.9353197031416448,269
Model_Star,GT_star,PARSE_0098.nii.gz,0.8788585691006165,3.2683625496727737,0.9502277175072982,226
Model_Star,GT_star,PARSE_0099.nii.gz,0.9009129548636073,1.0523737641877915,0.9602302865644609,176
Model_Star,GT_star,PARSE_0100.nii.gz,0.7944388584842398,3.0,0.9103144457741471,306
Model_Star,GT_minus_test_full,PARSE_0086.nii.gz,0.762572332952064,1.2359516360008602,0.932313774529412,518
Model_Star,GT_minus_test_full,PARSE_0087.nii.gz,0.9319548069973815,2.0,0.9412812948353217,502
Model_Star,GT_minus_test_full,PARSE_0088.nii.gz,0.9008133589538053,3.0,0.7261985032220872,458
Model_Star,GT_minus_test_full,PARSE_0089.nii.gz,0.6598630780573302,1.9640631215193924,0.8973931407493765,904
Model_Star,GT_minus_test_full,PARSE_0090.nii.gz,0.6599754633467986,1.6068890083500633,0.9220757833848814,795
Model_Star,GT_minus_test_full,PARSE_0091.nii.gz,0.7143466486872112,1.4805215710398998,0.9309186194740404,470
Model_Star,GT_minus_test_full,PARSE_0092.nii.gz,0.3582218556422276,11.422227679233592,0.6412449486929572,29
Model_Star,GT_minus_test_full,PARSE_0093.nii.gz,0.8921941354874218,1.0,0.9653194589422408,369
Model_Star,GT_minus_test_full,PARSE_0094.nii.gz,0.9241085739026126,2.0,0.9027021308276452,313
Model_Star,GT_minus_test_full,PARSE_0095.nii.gz,0.2741452561198117,18.62513108175349,0.6133873020361991,117
Model_Star,GT_minus_test_full,PARSE_0096.nii.gz,0.9148679262994954,2.331242669224399,0.8967898946262296,239
Model_Star,GT_minus_test_full,PARSE_0097.nii.gz,0.7701971750844517,4.3460415071909475,0.7661158898907671,277
Model_Star,GT_minus_test_full,PARSE_0098.nii.gz,0.8982715296815361,2.360567915521403,0.8606944798918968,336
Model_Star,GT_minus_test_full,PARSE_0099.nii.gz,0.9074227973667611,1.4517198557403495,0.950240239412297,259
Model_Star,GT_minus_test_full,PARSE_0100.nii.gz,0.6500926153599819,5.163598575038597,0.8714731824905495,66
Model_Minus_Fixed,GT_star,PARSE_0086.nii.gz,0.8812487323792746,0.7816844495148162,0.9568944760364677,87
Model_Minus_Fixed,GT_star,PARSE_0087.nii.gz,0.9189570263989313,0.7109375,0.968314300372156,326
Model_Minus_Fixed,GT_star,PARSE_0088.nii.gz,0.8815172875575079,1.295892182186297,0.9370009513777989,444
Model_Minus_Fixed,GT_star,PARSE_0089.nii.gz,0.8865043986918597,1.0,0.9597846193807457,204
Model_Minus_Fixed,GT_star,PARSE_0090.nii.gz,0.7845515524619995,1.1813225940821848,0.93509014950007,178
Model_Minus_Fixed,GT_star,PARSE_0091.nii.gz,0.9110279782192562,0.662109375,0.9632225098666635,89
Model_Minus_Fixed,GT_star,PARSE_0092.nii.gz,0.8434771226684686,7.282323929988906,0.913486797703226,168
Model_Minus_Fixed,GT_star,PARSE_0093.nii.gz,0.8840272163047186,0.740234375,0.9583075073882179,220
Model_Minus_Fixed,GT_star,PARSE_0094.nii.gz,0.9318402467628442,0.8231164874749655,0.9760415922246838,211
